Award ID,Awarding Agency,Recipient Name,Description,Obligated Amount,Total Outlays,Place of Performance Country Code,Place of Performance State Code,Place of Performance City Code,Base Obligation Date,CFDA Number,Award URL
90ZZ0015,Department of Health and Human Services,LUTHERAN FAMILY SERVICES OF NEBRASKA INC,LFS SERVICES TO AFGHAN SURVIVORS IMPACTED BY COMBAT (SASIC) PROJECT,3000000.0,760202.91,USA,NE,NE*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0015_7590
90ZZ0014,Department of Health and Human Services,"LOWELL COMMUNITY HEALTH CENTER, INC.",METTA HEALTH CENTER: BASIC_BEYOND SERVICES TO AFGHAN SURVIVORS IMPACTED BY COMBAT PROGRAM,2769246.0,890902.87,USA,MA,MA*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0014_7590
90ZZ0013,Department of Health and Human Services,"JEWISH FAMILY AND CHILDREN'S SERVICE OF SOUTHERN ARIZONA, INC",JEWISH FAMILY & CHILDREN?S SERVICES OF SOUTHERN ARIZONA SERVICES TO AFGHAN SURVIVORS IMPACTED BY COMBAT (SASIC) PROGRAM - JEWISH FAMILY & CHILDREN’S SERVICES OF SOUTHERN ARIZONA SERVICES TO AFGHAN SURVIVORS IMPACTED BY COMBAT (SASIC) PROGRAM,1887109.0,616556.11,USA,AZ,AZ*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0013_7590
90ZZ0012,Department of Health and Human Services,THE CENTER FOR VICTIMS OF TORTURE,CVT MINNESOTA AFGHAN CLIENT SERVICES,2968553.0,907167.38,USA,MN,MN**053,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0012_7590
90ZZ0011,Department of Health and Human Services,"INTERNATIONAL RESCUE COMMITTEE, INC",IRC IN SACRAMENTO SERVICES FOR SURVIVORS OF COMBAT,3000000.0,1113943.0,USA,CA,CA*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0011_7590
90ZZ0010,Department of Health and Human Services,THE CENTER FOR VICTIMS OF TORTURE,CVT GEORGIA AFGHAN CLIENT SERVICES,2735886.0,1200026.41,USA,MN,MN**053,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0010_7590
90ZZ0009,Department of Health and Human Services,ASYLUMWORKS INC,THE NATIONAL CAPITAL AREA COALITION TO SERVE AFGHAN SURVIVORS IMPACTED BY COMBAT,3000000.0,937535.1,USA,,00*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0009_7590
90ZZ0008,Department of Health and Human Services,ASIAN SERVICES IN ACTION INC,ASIA ORR AFGHAN SURVIVOR IMPACTED BY COMBAT,2423628.0,514191.13,USA,OH,OH*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0008_7590
90ZZ0007,Department of Health and Human Services,"INTERNATIONAL RESCUE COMMITTEE, INC.",SERVICES TO AFGHAN SURVIVORS IMPACTED BY COMBAT IN ARIZONA (SASIC),3000000.0,1312862.0,USA,AZ,AZ*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0007_7590
90ZZ0006,Department of Health and Human Services,"CATHOLIC CHARITIES OF THE ROMAN CATHOLIC DIOCESE OF SYRACUSE, N.Y.",SYRACUSE SERVICES TO AFGHAN SURVIVORS IMPACTED BY COMBAT WILL CREATE A MULTIDISCIPLINARY TEAM OF HEALTH AND MENTAL HEALTH PROFESSIONALS DEDICATED TO MEETING THE NEEDS OF VULNERABLE AFGHAN REFUGEES.,2392228.0,284390.49,USA,NY,NY*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0006_7590
90ZZ0005,Department of Health and Human Services,UNIVERSITY OF LOUISVILLE,SUPPORTING TRANSITION OF AFGHANS INTO RESETTLEMENT (STAR),1511823.0,387386.62,USA,KY,KY**111,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0005_7590
90ZZ0004,Department of Health and Human Services,"GULF COAST JEWISH FAMILY AND COMMUNITY SERVICES, INC.",FLORIDA CENTER FOR AFGHAN SURVIVORS IMPACTED BY COMBAT,3000000.0,491711.47,USA,FL,FL**103,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0004_7590
90ZZ0003,Department of Health and Human Services,MONARCH IMMIGRANT SERVICES,AFGHAN COMBAT SURVIVOR SERVICES,1796001.0,664599.26,USA,MO,MO**189,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0003_7590
90ZZ0002,Department of Health and Human Services,CENTER FOR SURVIVORS OF TORTURE,"SERVICES TO AFGHAN SURVIVORS IMPACTED BY COMBAT INCLUDING WHOLE FAMILY HOLISTIC PSYCHOLOGICAL, PEDIATRIC, SOCIAL, MEDICAL, WELLNESS SERVICES, COMMUNITY ENGAGEMENT AND EDUCATION.",3000000.0,1398400.0,USA,TX,TX**113,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0002_7590
90ZZ0001,Department of Health and Human Services,"SOCIAL SERVICES, VIRGINIA DEPARTMENT OF",HEALING AND EDUCATING AFGHANS FOR RESILIENCE (HEAR VA),0.0,,USA,VA,VA*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0001_7590
90ZV0146,Department of Health and Human Services,RWJ BARNABAS HEALTH INC,SOAR DEMONSTRATION PROGRAM,1500000.0,202480.0,USA,NJ,NJ*****,2023,93.598,https://www.usaspending.gov/award/ASST_NON_90ZV0146_7590
90ZV0145,Department of Health and Human Services,"U.S. COMMITTEE FOR REFUGEES AND IMMIGRANTS, INC.","ASPIRE: CHILD TRAFFICKING VICTIM ASSISTANCE PROGRAM TO PROVIDE COMPREHENSIVE, CULTURALLY AND LINGUISTICALLY RESPONSIVE CASE MANAGEMENT SERVICES TO FOREIGN NATIONAL MINOR TRAFFICKING VICTIMS.",5000000.0,2558129.6,USA,VA,VA*****,2022,93.598,https://www.usaspending.gov/award/ASST_NON_90ZV0145_7590
90ZV0144,Department of Health and Human Services,INTERNATIONAL INSTITUTE OF METROPOLITAN ST. LOUIS,"IISTL WILL IMPLEMENT A MISSOURI STATEWIDE INITIATIVE TO INCREASE IDENTIFICATION AND EXPAND SERVICES FOR ADULT, FOREIGN BORN INDIVIDUALS WHO HAVE EXPERIENCED LABOR TRAFFICKING.",685995.0,334555.3,USA,MO,MO**510,2022,93.598,https://www.usaspending.gov/award/ASST_NON_90ZV0144_7590
90ZV0143,Department of Health and Human Services,INTERFACE COMMUNITY,CENTRAL COAST HUMAN TRAFFICKING LIGHTHOUSE PROJECT,938045.0,490374.76,USA,CA,CA*****,2022,93.598,https://www.usaspending.gov/award/ASST_NON_90ZV0143_7590
90ZV0142,Department of Health and Human Services,"TAHIRIH JUSTICE CENTER, THE",FROM CRISIS TO STABILITY: ADDRESSING DOMESTIC WORKER LABOR TRAFFICKING IN NORTHERN CALIFORNIA,835612.0,368938.01,USA,CA,CA*****,2022,93.598,https://www.usaspending.gov/award/ASST_NON_90ZV0142_7590
90ZV0141,Department of Health and Human Services,THE UNIVERSITY OF SOUTHERN MISSISSIPPI,SOARING IN MISSISSIPPI,1492326.0,633758.86,USA,MS,MS*****,2022,93.598,https://www.usaspending.gov/award/ASST_NON_90ZV0141_7590
90ZV0140,Department of Health and Human Services,"BARNABAS HEALTH, INC.",SOAR AT RWJBARNABAS HEALTH,0.0,,USA,NJ,NJ*****,2022,93.598,https://www.usaspending.gov/award/ASST_NON_90ZV0140_7590
90ZV0139,Department of Health and Human Services,"U.S. COMMITTEE FOR REFUGEES AND IMMIGRANTS, INC.","TRAFFICKING VICTIM ASSISTANCE PROGRAM (TVAP) TO PROVIDE COMPREHENSIVE, CULTURALLY AND LINGUISTICALLY RESPONSIVE CASE MANAGEMENT SERVICES TO FOREIGN NATIONAL ADULT VICTIMS OF TRAFFICKING IN THE U.S.",12191000.0,6966516.13,USA,,00*****,2022,93.598,https://www.usaspending.gov/award/ASST_NON_90ZV0139_7590
90ZU0633,Department of Health and Human Services,COMPASS CONNECTIONS,"RESIDENTIAL (STAFF SECURE) SERVICES FOR UNACOMMPANIED CHILDREN. 54 STAFF SECURE BEDS, 36 SAN ANTONIO (20 MALES, 16 FEMALES) BEXAR COUNTY, TX. 18 FAIRFIELD (MALES) SOLANO COUNTY, CA",9727461.0,2456133.46,USA,TX,TX**029,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0633_7590
90ZU0632,Department of Health and Human Services,CENTER FOR FAMILY SERVICES INC,HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,7000000.0,3842806.27,USA,NJ,NJ*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0632_7590
90ZU0631,Department of Health and Human Services,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,12993455.0,3990915.02,USA,,00*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0631_7590
90ZU0630,Department of Health and Human Services,"U.S. COMMITTEE FOR REFUGEES AND IMMIGRANTS, INC.",HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,99996558.0,43227700.19,USA,,00*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0630_7590
90ZU0629,Department of Health and Human Services,HOLY FAMILY INSTITUTE,HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,5763720.0,1632235.0,USA,,00*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0629_7590
90ZU0628,Department of Health and Human Services,COMPASS CONNECTIONS,HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,95289576.0,41236896.0,USA,TX,TX*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0628_7590
90ZU0627,Department of Health and Human Services,CAYUGA HOME FOR CHILDREN,HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,19446722.0,12964361.0,USA,,00*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0627_7590
90ZU0626,Department of Health and Human Services,"YOUTH FOR TOMORROW - NEW LIFE CENTER, INC",HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,1837883.0,328588.9,USA,VA,VA*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0626_7590
90ZU0625,Department of Health and Human Services,MORRISON CHILD AND FAMILY SERVICES,HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,14165309.0,3269539.36,USA,OR,OR*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0625_7590
90ZU0624,Department of Health and Human Services,"CHURCH WORLD SERVICE, INC.",HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,50746728.0,22576964.94,USA,NY,NY*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0624_7590
90ZU0623,Department of Health and Human Services,SOUTHWEST KEY PROGRAMS INC,HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,30173036.0,13103677.56,USA,TX,TX**453,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0623_7590
90ZU0622,Department of Health and Human Services,LUTHERAN IMMIGRATION AND REFUGEE SERVICE INC,HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,63811123.0,22398603.0,USA,,00*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0622_7590
90ZU0621,Department of Health and Human Services,"HEARTLAND HUMAN CARE SERVICES, INC.",HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,10772596.0,3190222.93,USA,IL,IL*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0621_7590
90ZU0620,Department of Health and Human Services,BOARD OF CHILD CARE OF THE UNITED METHODIST CHURCH INC,HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,14919380.0,4475864.38,USA,MD,MD*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0620_7590
90ZU0619,Department of Health and Human Services,"FAMILY ENDEAVORS, INC.",HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,78748152.0,26203558.57,USA,TX,TX*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0619_7590
90ZU0618,Department of Health and Human Services,"BETHANY CHRISTIAN SERVICES USA, LLC",HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,30152657.0,10048364.82,USA,,00*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0618_7590
90ZU0617,Department of Health and Human Services,"YOUTH FOR TOMORROW - NEW LIFE CENTER, INC",RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,2123527.0,1308000.0,USA,VA,VA**153,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0617_7590
90ZU0616,Department of Health and Human Services,MORRISON CHILD AND FAMILY SERVICES,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,4753796.0,2402680.45,USA,OR,OR*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0616_7590
90ZU0615,Department of Health and Human Services,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,3453711.0,1681479.64,USA,,00*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0615_7590
90ZU0614,Department of Health and Human Services,SAMARITAS,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,2043273.0,306616.78,USA,MI,MI*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0614_7590
90ZU0613,Department of Health and Human Services,MERCYFIRST,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,2441411.0,,USA,NY,NY*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0613_7590
90ZU0612,Department of Health and Human Services,MARSELL CONSULTING & MHS,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,9830414.0,2469042.0,USA,CA,CA*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0612_7590
90ZU0611,Department of Health and Human Services,VISIONQUEST NATIONAL LTD,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,10510875.0,4754485.38,USA,AZ,AZ*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0611_7590
90ZU0610,Department of Health and Human Services,"FLORENCE CRITTENTON SERVICES OF ORANGE COUNTY, INC",RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,4356518.0,1205000.0,USA,CA,CA*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0610_7590
90ZU0609,Department of Health and Human Services,"NATIONAL YOUTH ADVOCATE PROGRAM, INC.",RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,9618975.0,2717140.68,USA,,00*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0609_7590
90ZU0608,Department of Health and Human Services,"LUTHERAN SOCIAL SERVICES OF THE SOUTH, INC",RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,1807575.0,1044040.81,USA,TX,TX**141,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0608_7590
90ZU0607,Department of Health and Human Services,MARYVILLE ACADEMY,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,2923876.0,1426883.38,USA,IL,IL*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0607_7590
90ZU0606,Department of Health and Human Services,LUTHERAN IMMIGRATION AND REFUGEE SERVICE INC,RESIDENTIAL (THERAPEUTIC GROUP HOME) SERVICES FOR UNACCOMPANIED CHILDREN,4183290.0,3576930.0,USA,,00*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0606_7590
90ZU0605,Department of Health and Human Services,HILLSIDES,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,814519.0,170057.0,USA,CA,CA*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0605_7590
90ZU0604,Department of Health and Human Services,"THE VILLAGES, INC",RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,2207782.0,451024.02,USA,KS,KS*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0604_7590
90ZU0603,Department of Health and Human Services,JEWISH CHILD CARE ASSOCIATION OF NEW YORK,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,3996435.0,1234721.49,USA,NY,NY*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0603_7590
90ZU0602,Department of Health and Human Services,HOLY FAMILY INSTITUTE,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,2704123.0,1006989.0,USA,PA,PA*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0602_7590
90ZU0601,Department of Health and Human Services,THE CHILDREN'S VILLAGE,RESIDENTIAL (THERAPEUTIC GROUP HOME) SERVICES FOR UNACCOMPANIED CHILDREN,3042290.0,1621935.0,USA,NY,NY**119,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0601_7590
90ZU0600,Department of Health and Human Services,COMPASS CONNECTIONS,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,8363980.0,4602736.68,USA,TX,TX**029,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0600_7590
90ZU0599,Department of Health and Human Services,"DAVID AND MARGARET HOME, INC.",RESIDENTIAL LONG TERM FOSTER CARE SERVICES FOR UNACCOMPANIED CHILDREN,1951411.0,747636.72,USA,CA,CA*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0599_7590
90ZU0598,Department of Health and Human Services,"THE CHILDREN'S HOME OF POUGHKEEPSIE, N.Y.",RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,11029641.0,3150000.0,USA,NY,NY*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0598_7590
90ZU0597,Department of Health and Human Services,LUTHERAN IMMIGRATION AND REFUGEE SERVICE INC,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,11158492.0,4758661.0,USA,,00*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0597_7590
90ZU0596,Department of Health and Human Services,LUTHERAN IMMIGRATION AND REFUGEE SERVICE INC,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,3425112.0,1194617.0,USA,,00*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0596_7590
90ZU0595,Department of Health and Human Services,BOARD OF CHILD CARE OF THE UNITED METHODIST CHURCH INC,RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,3390347.0,66518.76,USA,MD,MD*****,2024,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0595_7590
90ZU0594,Department of Health and Human Services,"BETHANY CHRISTIAN SERVICES USA, LLC",RESIDENTIAL (LONG TERM FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN,5012443.0,1716003.15,USA,MI,MI*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0594_7590
90ZU0593,Department of Health and Human Services,THE DEVEREUX FOUNDATION,RESIDENTIAL TREATMENT SERVICES FOR UNACCOMPANIED CHILDREN,2788786.0,1436365.0,USA,PA,PA*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0593_7590
90ZU0592,Department of Health and Human Services,SHILOH TREATMENT CENTER INC,RESIDENTIAL TREATMENT CENTER SERVICES FOR UNACCOMPANIED CHILDREN,2052385.0,1368256.56,USA,TX,TX**039,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0592_7590
90ZU0591,Department of Health and Human Services,SHILOH TREATMENT CENTER INC,RESIDENTIAL TREATMENT CENTER SERVICES FOR UNACCOMPANIED CHILDREN,2052385.0,1368256.56,USA,TX,TX**039,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0591_7590
90ZU0590,Department of Health and Human Services,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF GALVESTON-HOUSTON,RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-PRELICENSED,9640665.0,4461390.69,USA,TX,TX*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0590_7590
90ZU0589,Department of Health and Human Services,RESPONSIVE DEPLOYMENT LLC,RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-PRELICENSED,17126530.0,4362049.64,USA,MI,MI00980,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0589_7590
90ZU0588,Department of Health and Human Services,"HANDS OF HEALING RESIDENTIAL TREATMENT CENTER, INC",RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-PRELICENSED,5540836.0,2729380.0,USA,TX,TX*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0588_7590
90ZU0587,Department of Health and Human Services,YOUTHCARE,RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-PRELICENSED,2994648.0,1160777.72,USA,WA,WA*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0587_7590
90ZU0586,Department of Health and Human Services,MARSELL CONSULTING & MHS,RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-PRELICENSED,10157796.0,3036697.0,USA,CA,CA*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0586_7590
90ZU0585,Department of Health and Human Services,DYNAMIC SERVICE SOLUTIONS LLC,RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-PRELICENSED,17668966.0,8377047.47,USA,MD,MD*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0585_7590
90ZU0584,Department of Health and Human Services,"INTERNATIONAL RESCUE COMMITTEE, INC.",HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,30497925.0,7053432.0,USA,,00*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0584_7590
90ZU0583,Department of Health and Human Services,"RISING GROUND, INC",HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,7550098.0,1247011.0,USA,NY,NY*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0583_7590
90ZU0582,Department of Health and Human Services,"NATIONAL YOUTH ADVOCATE PROGRAM, INC.",HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,101814606.0,13135305.4,USA,OH,OH*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0582_7590
90ZU0581,Department of Health and Human Services,APPLIED INTELLECT LLC,HOME STUDY AND POST RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,77184562.0,8697109.77,USA,,00*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0581_7590
90ZU0580,Department of Health and Human Services,"URBAN STRATEGIES, L.L.C.",HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,37237454.0,4814845.52,USA,,00*****,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0580_7590
90ZU0579,Department of Health and Human Services,"CHICANOS POR LA CAUSA, INC",HOME STUDY AND POST-RELEASE SERVICES FOR UNACCOMPANIED CHILDREN,15931492.0,1014150.0,USA,AZ,AZ**013,2023,93.676,https://www.usaspending.gov/award/ASST_NON_90ZU0579_7590
